# Cluster list (73 data points):
# "Cluster Identifier" "Cluster Size"
1 25741 
2 17 
3 17 
4 17 
5 14 
6 13 
7 13 
8 13 
9 12 
10 10 
11 9 
12 8 
13 7 
14 6 
15 5 
16 5 
17 5 
18 5 
19 4 
20 4 
21 4 
22 4 
23 3 
24 3 
25 3 
26 3 
27 2 
28 2 
29 2 
30 2 
31 2 
32 2 
33 2 
34 2 
35 1 
36 1 
37 1 
38 1 
39 1 
40 1 
41 1 
42 1 
43 1 
44 1 
45 1 
46 1 
47 1 
48 1 
49 1 
50 1 
51 1 
52 1 
53 1 
54 1 
55 1 
56 1 
57 1 
58 1 
59 1 
60 1 
61 1 
62 1 
63 1 
64 1 
65 1 
66 1 
67 1 
68 1 
69 1 
70 1 
71 1 
72 1 
73 1 
