# Cluster list (75 data points):
# "Cluster Identifier" "Cluster Size"
1 33791 
2 35 
3 14 
4 13 
5 11 
6 11 
7 8 
8 7 
9 6 
10 6 
11 4 
12 4 
13 4 
14 4 
15 3 
16 3 
17 3 
18 2 
19 2 
20 2 
21 2 
22 2 
23 2 
24 2 
25 2 
26 2 
27 2 
28 2 
29 2 
30 2 
31 2 
32 2 
33 1 
34 1 
35 1 
36 1 
37 1 
38 1 
39 1 
40 1 
41 1 
42 1 
43 1 
44 1 
45 1 
46 1 
47 1 
48 1 
49 1 
50 1 
51 1 
52 1 
53 1 
54 1 
55 1 
56 1 
57 1 
58 1 
59 1 
60 1 
61 1 
62 1 
63 1 
64 1 
65 1 
66 1 
67 1 
68 1 
69 1 
70 1 
71 1 
72 1 
73 1 
74 1 
75 1 
