# Cluster list (123 data points):
# "Cluster Identifier" "Cluster Size"
1 29596 
2 25 
3 21 
4 20 
5 20 
6 16 
7 16 
8 14 
9 13 
10 10 
11 10 
12 9 
13 9 
14 9 
15 8 
16 8 
17 8 
18 8 
19 7 
20 7 
21 6 
22 6 
23 5 
24 5 
25 4 
26 4 
27 4 
28 4 
29 3 
30 3 
31 3 
32 3 
33 3 
34 3 
35 3 
36 2 
37 2 
38 2 
39 2 
40 2 
41 2 
42 2 
43 2 
44 2 
45 2 
46 2 
47 2 
48 2 
49 2 
50 2 
51 2 
52 2 
53 2 
54 2 
55 1 
56 1 
57 1 
58 1 
59 1 
60 1 
61 1 
62 1 
63 1 
64 1 
65 1 
66 1 
67 1 
68 1 
69 1 
70 1 
71 1 
72 1 
73 1 
74 1 
75 1 
76 1 
77 1 
78 1 
79 1 
80 1 
81 1 
82 1 
83 1 
84 1 
85 1 
86 1 
87 1 
88 1 
89 1 
90 1 
91 1 
92 1 
93 1 
94 1 
95 1 
96 1 
97 1 
98 1 
99 1 
100 1 
101 1 
102 1 
103 1 
104 1 
105 1 
106 1 
107 1 
108 1 
109 1 
110 1 
111 1 
112 1 
113 1 
114 1 
115 1 
116 1 
117 1 
118 1 
119 1 
120 1 
121 1 
122 1 
123 1 
