# Cluster list (111 data points):
# "Cluster Identifier" "Cluster Size"
1 41535 
2 47 
3 27 
4 26 
5 26 
6 22 
7 22 
8 19 
9 17 
10 15 
11 15 
12 14 
13 12 
14 11 
15 11 
16 10 
17 10 
18 7 
19 6 
20 5 
21 5 
22 5 
23 4 
24 4 
25 4 
26 4 
27 3 
28 3 
29 3 
30 3 
31 3 
32 3 
33 3 
34 3 
35 3 
36 3 
37 3 
38 2 
39 2 
40 2 
41 2 
42 2 
43 2 
44 2 
45 2 
46 2 
47 2 
48 1 
49 1 
50 1 
51 1 
52 1 
53 1 
54 1 
55 1 
56 1 
57 1 
58 1 
59 1 
60 1 
61 1 
62 1 
63 1 
64 1 
65 1 
66 1 
67 1 
68 1 
69 1 
70 1 
71 1 
72 1 
73 1 
74 1 
75 1 
76 1 
77 1 
78 1 
79 1 
80 1 
81 1 
82 1 
83 1 
84 1 
85 1 
86 1 
87 1 
88 1 
89 1 
90 1 
91 1 
92 1 
93 1 
94 1 
95 1 
96 1 
97 1 
98 1 
99 1 
100 1 
101 1 
102 1 
103 1 
104 1 
105 1 
106 1 
107 1 
108 1 
109 1 
110 1 
111 1 
