# Cluster list (76 data points):
# "Cluster Identifier" "Cluster Size"
1 9779 
2 23 
3 20 
4 19 
5 19 
6 11 
7 10 
8 10 
9 10 
10 9 
11 9 
12 5 
13 4 
14 3 
15 2 
16 2 
17 2 
18 2 
19 2 
20 2 
21 2 
22 1 
23 1 
24 1 
25 1 
26 1 
27 1 
28 1 
29 1 
30 1 
31 1 
32 1 
33 1 
34 1 
35 1 
36 1 
37 1 
38 1 
39 1 
40 1 
41 1 
42 1 
43 1 
44 1 
45 1 
46 1 
47 1 
48 1 
49 1 
50 1 
51 1 
52 1 
53 1 
54 1 
55 1 
56 1 
57 1 
58 1 
59 1 
60 1 
61 1 
62 1 
63 1 
64 1 
65 1 
66 1 
67 1 
68 1 
69 1 
70 1 
71 1 
72 1 
73 1 
74 1 
75 1 
76 1 
