# Cluster list (116 data points):
# "Cluster Identifier" "Cluster Size"
1 21695 
2 22 
3 13 
4 11 
5 11 
6 10 
7 8 
8 7 
9 7 
10 6 
11 6 
12 6 
13 6 
14 5 
15 5 
16 5 
17 4 
18 4 
19 4 
20 4 
21 4 
22 4 
23 4 
24 4 
25 4 
26 4 
27 4 
28 3 
29 3 
30 3 
31 3 
32 3 
33 3 
34 3 
35 3 
36 3 
37 3 
38 2 
39 2 
40 2 
41 2 
42 2 
43 2 
44 2 
45 2 
46 2 
47 2 
48 2 
49 2 
50 2 
51 2 
52 2 
53 2 
54 2 
55 2 
56 2 
57 2 
58 2 
59 2 
60 2 
61 2 
62 1 
63 1 
64 1 
65 1 
66 1 
67 1 
68 1 
69 1 
70 1 
71 1 
72 1 
73 1 
74 1 
75 1 
76 1 
77 1 
78 1 
79 1 
80 1 
81 1 
82 1 
83 1 
84 1 
85 1 
86 1 
87 1 
88 1 
89 1 
90 1 
91 1 
92 1 
93 1 
94 1 
95 1 
96 1 
97 1 
98 1 
99 1 
100 1 
101 1 
102 1 
103 1 
104 1 
105 1 
106 1 
107 1 
108 1 
109 1 
110 1 
111 1 
112 1 
113 1 
114 1 
115 1 
116 1 
