# Cluster list (113 data points):
# "Cluster Identifier" "Cluster Size"
1 9756 
2 10 
3 10 
4 10 
5 8 
6 7 
7 6 
8 5 
9 5 
10 5 
11 5 
12 5 
13 5 
14 4 
15 4 
16 4 
17 4 
18 4 
19 3 
20 3 
21 3 
22 3 
23 3 
24 3 
25 3 
26 3 
27 3 
28 3 
29 3 
30 3 
31 3 
32 3 
33 2 
34 2 
35 2 
36 2 
37 2 
38 2 
39 2 
40 2 
41 2 
42 2 
43 2 
44 2 
45 2 
46 2 
47 2 
48 2 
49 2 
50 2 
51 2 
52 2 
53 1 
54 1 
55 1 
56 1 
57 1 
58 1 
59 1 
60 1 
61 1 
62 1 
63 1 
64 1 
65 1 
66 1 
67 1 
68 1 
69 1 
70 1 
71 1 
72 1 
73 1 
74 1 
75 1 
76 1 
77 1 
78 1 
79 1 
80 1 
81 1 
82 1 
83 1 
84 1 
85 1 
86 1 
87 1 
88 1 
89 1 
90 1 
91 1 
92 1 
93 1 
94 1 
95 1 
96 1 
97 1 
98 1 
99 1 
100 1 
101 1 
102 1 
103 1 
104 1 
105 1 
106 1 
107 1 
108 1 
109 1 
110 1 
111 1 
112 1 
113 1 
